,,,card,reports,age,income,owner,selfemp,months
5% Missing,K=1,Euclidian,0.6818181818181818,-1.6165511265164652,-1.6701802748999626,-1.2759287230780774,0.4696969696969697,0.9090909090909091,-1.1499990119213286
5% Missing,K=1,Hamming,0.6666666666666666,-2.102686308492202,-1.7160832407887736,-1.3380624564793235,0.4696969696969697,0.9090909090909091,-0.9701788932371433
5% Missing,K=1,Chi Square,0.696969696969697,-1.7595320623916817,-1.7545537045045507,-1.7660737418392793,0.5303030303030303,0.9242424242424242,-0.9088869070651451
5% Missing,K=7,Euclidian,0.696969696969697,-0.8375681109185449,-0.4147566806832861,-0.2323294605645585,0.5151515151515151,0.9393939393939394,-0.3073446572163847
5% Missing,K=7,Hamming,0.7121212121212122,-1.003331629116118,-0.38735036819807034,-0.21752881616877784,0.5151515151515151,0.9393939393939394,-0.2578142632407323
5% Missing,K=7,Chi Square,0.7121212121212122,-0.8071217504332759,-0.43604453221665107,-0.19008552128427714,0.48484848484848486,0.9393939393939394,-0.2989995437753912
5% Missing,Weighted,Euclidian,0.7121212121212122,-0.9594107452339691,-0.5794513012406353,-0.3209961380609434,0.48484848484848486,0.9242424242424242,-0.31359396086315994
5% Missing,Weighted,Hamming,0.7121212121212122,-1.0206065857885616,-0.6231533089529897,-0.30600879240731693,0.4696969696969697,0.9242424242424242,-0.3801423827740278
5% Missing,Weighted,Chi Square,0.696969696969697,-1.002305025996534,-0.5359272671985158,-0.2651484917771536,0.48484848484848486,0.9393939393939394,-0.3212822175800234
10% Missing,K=1,Euclidian,0.6742424242424242,-1.542111750205423,-1.3203222848079106,-0.7437415973449626,0.5454545454545454,0.8863636363636364,-0.9570640067779277
10% Missing,K=1,Hamming,0.6742424242424242,-1.6234593262119965,-1.2393947653085111,-0.6862614118127384,0.5227272727272727,0.8939393939393939,-1.0478173794902688
10% Missing,K=1,Chi Square,0.6893939393939394,-1.4743221035332783,-1.4124634247780063,-0.7020156621752054,0.5378787878787878,0.8787878787878788,-0.9574334558329616
10% Missing,K=7,Euclidian,0.7045454545454546,-0.5280199876746094,-0.547505893014447,-0.19881833171390562,0.5606060606060606,0.946969696969697,-0.3770373795498574
10% Missing,K=7,Hamming,0.6893939393939394,-0.6127733155299917,-0.5123211142093984,-0.21305579505399153,0.5833333333333334,0.946969696969697,-0.35535895813741325
10% Missing,K=7,Chi Square,0.7045454545454546,-0.5034692892358255,-0.5794113590309844,-0.20087970219383688,0.5454545454545454,0.946969696969697,-0.3757679853704676
10% Missing,Weighted,Euclidian,0.6742424242424242,-0.6321035332785538,-0.5461141691744125,-0.21143971698458985,0.5606060606060606,0.9393939393939394,-0.3878605216057276
10% Missing,Weighted,Hamming,0.6666666666666666,-0.7082990961380442,-0.5589677439554404,-0.1973018247541034,0.5606060606060606,0.9393939393939394,-0.4810311637320206
10% Missing,Weighted,Chi Square,0.6742424242424242,-0.5122514379622018,-0.5748945485922825,-0.24318604401559374,0.5681818181818182,0.946969696969697,-0.3934181079874668
20% Missing,K=1,Euclidian,0.696969696969697,-1.2107938300801244,-0.5595995500720079,-0.9794295355386886,0.5303030303030303,0.8787878787878788,-1.7886112772323086
20% Missing,K=1,Hamming,0.6931818181818182,-1.4157989481486712,-0.6593502890107508,-0.9213689524916531,0.4962121212121212,0.8825757575757576,-1.8632474675284518
20% Missing,K=1,Chi Square,0.7083333333333334,-1.29232995658466,-0.6121161558871586,-1.3293818078823558,0.5340909090909091,0.8636363636363636,-1.9550681634891158
20% Missing,K=7,Euclidian,0.7310606060606061,-0.5373016977868763,-0.24879789442909273,-0.3111684818246414,0.5378787878787878,0.9393939393939394,-0.5760343631292151
20% Missing,K=7,Hamming,0.7348484848484849,-0.5218664431188451,-0.22542480217437477,-0.3114445062893374,0.5227272727272727,0.9393939393939394,-0.5736888422657878
20% Missing,K=7,Chi Square,0.7234848484848485,-0.50266841269281,-0.2399973376239446,-0.2854884888583127,0.5113636363636364,0.9393939393939394,-0.5788429761877776
20% Missing,Weighted,Euclidian,0.7424242424242424,-0.560182132646218,-0.2920273924793506,-0.33222904065888637,0.5568181818181818,0.9393939393939394,-0.640154432458532
20% Missing,Weighted,Hamming,0.7310606060606061,-0.5547774522607745,-0.2835699865087846,-0.3615799089502636,0.5037878787878788,0.9356060606060606,-0.7173129194016195
20% Missing,Weighted,Chi Square,0.7310606060606061,-0.5748120433447461,-0.24821846495596223,-0.3489573826728445,0.5075757575757576,0.9318181818181818,-0.7434237049059074
