,,,card,reports,age,income,owner,selfemp,months
5% Missing,K=1,Euclidian,0.7121212121212122,-0.615684575389948,-1.486324398676445,-1.3712145803607156,0.5151515151515151,0.8787878787878788,-1.3567626972890312
5% Missing,K=1,Hamming,0.696969696969697,-0.48700173310225314,-1.3737178022557108,-1.2388855228372537,0.5,0.8939393939393939,-1.2083543007877222
5% Missing,K=1,Chi Square,0.696969696969697,-2.5602253032928943,-1.4185209208736387,-1.5209817028943702,0.6060606060606061,0.8939393939393939,-1.2791463765242712
5% Missing,K=7,Euclidian,0.7575757575757576,-0.33447967937608336,-0.25948101839314885,-0.16656290691661813,0.5151515151515151,0.9393939393939394,-0.4476679305489064
5% Missing,K=7,Hamming,0.7575757575757576,-0.2533651646447139,-0.27336643014119466,-0.22228281929331306,0.45454545454545453,0.9393939393939394,-0.42346485192525574
5% Missing,K=7,Chi Square,0.7121212121212122,-0.9600169844020794,-0.5798580651848009,-0.3757835998005339,0.5,0.9393939393939394,-0.11693024817348885
5% Missing,Weighted,Euclidian,0.7727272727272727,-0.03731811091854431,-0.1955298538700112,-0.13832998424280496,0.5909090909090909,0.9393939393939394,-0.23123892221653497
5% Missing,Weighted,Hamming,0.7727272727272727,-0.03589688041594452,-0.25065117742446463,-0.15931023258519783,0.6060606060606061,0.9393939393939394,-0.19598695585710746
5% Missing,Weighted,Chi Square,0.7575757575757576,-0.554104116117851,-0.9732790824082105,-0.7558746126095914,0.6060606060606061,0.9242424242424242,-0.4728479398177219
10% Missing,K=1,Euclidian,0.6363636363636364,-0.4845932621199669,-1.3115367701957488,-0.6245201450418785,0.4318181818181818,0.8863636363636364,-1.3010508712930497
10% Missing,K=1,Hamming,0.6515151515151515,-0.4168036154478223,-1.3076317937391466,-0.5108036843302071,0.4393939393939394,0.8939393939393939,-1.3999231849325455
10% Missing,K=1,Chi Square,0.6590909090909091,-1.779375513557929,-1.1079909060681463,-0.5123503033349033,0.44696969696969696,0.8939393939393939,-1.5611430060368625
10% Missing,K=7,Euclidian,0.7272727272727273,-0.19401972062448603,-0.5301579583931255,-0.2107776455025716,0.4772727272727273,0.946969696969697,-0.3632394852469565
10% Missing,K=7,Hamming,0.7348484848484849,-0.2661363804437138,-0.5012844978280278,-0.20062806419399437,0.49242424242424243,0.946969696969697,-0.2923001587493337
10% Missing,K=7,Chi Square,0.6742424242424242,-1.029873520953163,-0.4495262507994846,-0.12711729516115944,0.4696969696969697,0.946969696969697,-0.34969678281379313
10% Missing,Weighted,Euclidian,0.7424242424242424,-0.06144554231717336,-0.38530022659970453,-0.13370768168559422,0.5303030303030303,0.946969696969697,-0.18488024555361027
10% Missing,Weighted,Hamming,0.7424242424242424,-0.0863440016433854,-0.4117586393531527,-0.13365822759726464,0.5303030303030303,0.946969696969697,-0.2024327936957473
10% Missing,Weighted,Chi Square,0.696969696969697,-0.5817405710764174,-0.7417143874336141,-0.2004537908227979,0.4772727272727273,0.9393939393939394,-0.5662660178104779
20% Missing,K=1,Euclidian,0.6287878787878788,-1.015107126469239,-0.8642260064615666,-0.8490517241957618,0.5303030303030303,0.8939393939393939,-2.0458660394809276
20% Missing,K=1,Hamming,0.6363636363636364,-0.6074264939465606,-0.8335271262072701,-0.7378714143724387,0.5378787878787878,0.9053030303030303,-2.2335450273566453
20% Missing,K=1,Chi Square,0.6666666666666666,-0.9405598108079491,-0.842810183607261,-0.8521058022994341,0.4962121212121212,0.8787878787878788,-2.8124116840100193
20% Missing,K=7,Euclidian,0.7424242424242424,-0.11746822208887808,-0.44189739585558563,-0.209407041159547,0.5416666666666666,0.9393939393939394,-0.7075524198252152
20% Missing,K=7,Hamming,0.7613636363636364,-0.12039047686280058,-0.42667640383986716,-0.19627204811791166,0.5492424242424242,0.9393939393939394,-0.7165526522329266
20% Missing,K=7,Chi Square,0.7121212121212122,-0.39137509441954066,-0.3938299711502802,-0.19203234491620713,0.553030303030303,0.9393939393939394,-0.7496841419559555
20% Missing,Weighted,Euclidian,0.7613636363636364,-0.06694820514630617,-0.3372860654109553,-0.07830805396227136,0.5946969696969697,0.9393939393939394,-0.40943349857406885
20% Missing,Weighted,Hamming,0.7651515151515151,-0.0689125269139812,-0.36300003636763867,-0.09761726601469078,0.5795454545454546,0.9393939393939394,-0.39306002627815095
20% Missing,Weighted,Chi Square,0.7159090909090909,-0.3627878295859661,-0.4964756543866806,-0.3819252657309087,0.5113636363636364,0.928030303030303,-1.2158466923223576
